ad_id,source_url,scraped_at,title,price_nok,tilstand,merke,kjonn,sykkeltype,brand,model,year,framesize,wheel_size,groupset,carbon_frame,carbon_wheels,electronic_shifting,description,location
"430218177","https://www.finn.no/recommerce/forsale/item/430218177","2026-03-02T15:35:16.250Z","Canyon Endurace CF rammesett Str. Medium","11000","Helt ny - Uåpnet/med lapp","Canyon","","Landevei","Canyon","Endurace CF","","Medium","","","true","false","false","Selger en Canyon Endurace CF ramme som er splitter ny og fortsatt pakket inn i beskyttelsesmateriale fra produsent. Rammen har aldri vært montert eller brukt. Følger ikke med setepinne, gaffel, styre eller noe annet enn kun rammen. Dette rammesettet tilsvarer farge og spesifikasjoner fra nyere Canyon Endurace CF. Modell: Canyon Endurace CF Farge: Stealth Black Materiale: Karbon Størrelse: Medium Kompatibilitet: Elektronisk og mekanisk gir (intern kabelføring), skivebrems Akselstandard: 12x100 mm foran / 12x142 mm bak (thru-axle) Dekklaring: Opptil 35 mm Canyon selger normalt ikke CF-rammer separat, så dette er en sjelden mulighet for deg som ønsker å bygge din egen sykkel fra bunnen av eller trenger å erstatte en ødelagt ramme med en topp kvalitets karbonramme. Kan sendes eller hentes i Oslo. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","0585 Oslo"
"417119267","https://www.finn.no/recommerce/forsale/item/417119267","2026-03-02T15:35:17.917Z","Scott Foil 20","18000","Pent brukt - I god stand","Scott","","Landevei","Scott","Foil 20","","54","","Shimano Ultegra","false","false","false","Scott Foil 20 vurderes solgt. Utstyrt med Shimano Ultegra 10-delt. Har normal bruksslitasje med noen kosmetiske merker, se bilder. Størrelse 54. Sykkelen må ikke selges, så det blir ikke aktuelt å selge den ved skambud.","2007 Kjeller"
"449099030","https://www.finn.no/recommerce/forsale/item/449099030","2026-03-02T15:35:19.609Z","Vitus Razor Intl. Sølv – Landevei | Str. M (51 cm)","7000","Som ny - Ikke synlig brukt","","Unisex","Landevei","Vitus","Razor Intl.","","M (51 cm)","700c","Shimano Claris","false","false","false","Selger en Vitus Razor Intl. racersykkel i sølv (rammehøyde M | 51 cm / 28"") + LOOK - KEO Classic 3 landeveispedaler. Sykkelen er som ny og kun brukt inne på rulle mellom 10–15 ganger. Aldri brukt ute. Ingen riper, skader eller rust. Vitus Razor Intl – Roadbike 6061-T6 dobbelbuet aluminiumramme med intern vaierføring og muligheter for skjermer. 700c hjul (28″). Carbongaffel gir en lettere og mer komfortabel tur. Shimano Claris-drivverk (typisk 2×8 eller 2×9 gir, avhengig av versjon). Tektro R317 dual pivot bremser. Komfortabel geometri som passer både nybegynnere og mer erfarne. Veier ca. ~9.8 kg i størrelse M (avhengig av eksakt modell). Passer ca. rytterhøyde: ~170–175 cm (vanlig anbefaling for rammestørrelse M). Kan sende fler bilder hvis det er ønskelig. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","0481 Oslo"
"449075088","https://www.finn.no/recommerce/forsale/item/449075088","2026-03-02T15:35:21.223Z","3T New Strada Rival AXS 2x12 delt - Large / 56","29900","Helt ny - Uåpnet/med lapp","","Unisex","Landevei","3T","New Strada Rival AXS 2x12","","Large / 56","700c","SRAM Rival AXS 2x12","true","false","true","Helt ny i eske. Rask landeveissykkel med topp moderne Rival AXS (D1) 2x12 delt elektronisk gruppesett. Kan leveres ferdig montert, eller sendes delvis montert i eske. Alle specs er lik denne: https://bikeshop.no/3t/ny3tb129/3t-new-strada-landeveissykkel-karbon-rival-axs-2x12-fulcrum-700c Nypris 64990,- Kan sendes for 440 kroner med Posten.","4318 Sandnes"
"439665639","https://www.finn.no/recommerce/forsale/item/439665639","2026-03-02T15:35:22.849Z","Hard Rocx Helium RR","10000","Pent brukt - I god stand","","","Landevei","Hard Rocx","Helium Super Veloce RR","","56","","Shimano Ultegra/Dura Ace","true","false","false","Selger min Hard Rocx Helium Super Veloce RR. Sykkelen er pent brukt og i god stand. Carbon ramme med Ultegra/Dura Ace utstyr. Ramme størrelse 56, indikasjon på rytterens høyde 175 - 184cm. Selges uten pedaler.","3616 Kongsberg"
"440182728","https://www.finn.no/recommerce/forsale/item/440182728","2026-03-02T15:35:24.499Z","TREK Emonda","8000","Som ny - Ikke synlig brukt","Trek","Unisex","Landevei","Trek","Emonda","","54cm","","Shimano Tiagra","false","false","false","Selges Trek Emonda sykkel. Sykkelen er som ny,klar til ny eier. Helt nye dekkene, alt virker som det skal. Gir system er shimano Tiagra 2*10, rame størrelse er 54cm. Lys og flaskeholder. Veldig lett og raskt sykkel!","5228 Nesttun"
"449014762","https://www.finn.no/recommerce/forsale/item/449014762","2026-03-02T15:35:26.108Z","Canyon Landevei Sykkel S 28""/700c Unisex","43000","Pent brukt - I god stand","Canyon","Unisex","Landevei","Canyon","","","S","700c","SRAM Force","false","false","false","Hei, jeg har en Canyon-sykkel til salgs. Sykkelen er i størrelse small. Den har SRAM Force-komponenter, og krankdrevet foran har en effektmåler. Jeg har også en Wahoo Kicker V6-trener til salgs 8000nok og en Wahoo Headwind 2500nok","5227 Nesttun"
"449007935","https://www.finn.no/recommerce/forsale/item/449007935","2026-03-02T15:35:27.798Z","Gavia Treviso Landeveissykkel - XL","8000","Pent brukt - I god stand","","Unisex","Landevei","Gavia","Treviso","","XL","700c","Shimano Tiagra 4700","false","false","false","Gavia Treviso har gjennom flere år vært en av våre mest solgte landeveissykler. Hvorfor det? Den gir deg svært mye utstyr, ytelse og kvalitet for pengene. Den er bygd for å tilfredstille ambisiøse nybegynnere, aktive mosjonister og yngre aktive. Sykkelen har gått ca 500km. Stått lagret tørt og varmt det siste året. Eksklusiv ramme i aluminium med lav vekt Shimano Tiagra 4700 2x10-delt girsystem med bred utveksling Carbongaffel for ekstra komfort og lav vekt Pålitelige og solide Shimano RS-305 mekaniske skivebremser Sterke felger fra DT Swiss med Novatec nav som har 12 mm gjennomgående aksling Gavia Treviso landeveissykkel passer perfekt til lett konkurranse og lange treningsturer. Sykkelen har en balansert geometri perfekt for deg som ønsker en sporty sittestilling som ikke blir for aggressiv. Klikk pedaler fra Shimanno Sko str: 47 kan medfølge. Les mer her: https://bikeshop.no/gavia/nytrev001/gavia-treviso-landeveissykkel-alu-shimano-tiagra-2x10s-skivebremser Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","4021 Stavanger"
"432891327","https://www.finn.no/recommerce/forsale/item/432891327","2026-03-02T15:35:29.478Z","Trek Madone SL 5.2, sko, sete og sykkelcomputer","7000","Godt brukt - Synlig brukt","Trek","Herre","Landevei","Trek","Madone SL 5.2","","58","700c","","false","false","false","Jeg legger ut denne sykkelen da den ikke blir brukt. Ikke helt sikker på rammestørrelse, tror det er 58, jeg er 185 .Vært med på 4 Lillehammer-oslo og mange fine turer. Den har stått i boden i 2 år, så trenger gir justering og litt shine. Mange gode turer igjen i denne nydelige sykkelen. Følger med shimano landeveissko str 46, ekstra sykkelsete og en sigma 1108 sykkelcomputer. Vanlige bruksmerker. Gi bud.","1361 Østerås"
"429514790","https://www.finn.no/recommerce/forsale/item/429514790","2026-03-02T15:35:31.140Z","Kirk Precision landeveissykkel","5700","Godt brukt - Synlig brukt","","Herre","Landevei","Kirk Precision","Precision","1991","","","","false","false","false","Lodder stemningen for en original Kirk Precision landeveissykkel. Et forsøk på et industrieventyr i Norge hvor Norsk Hydro produserte magnesiumsrammer for Kirk Precision, en britisk sykkelprodusent. Denne er antakeligvis fra 1991 og er særs lite brukt, kun vært på noen få turer de siste 30-ish årene. Det er litt flasset maling på rammen og dekkene trenger litt luft. Den er originalt utstyrt, sett bort i fra dekkene som ble byttet for en 18 år siden.","5215 Lysekloster"
