ad_id,source_url,scraped_at,title,price_nok,tilstand,merke,kjonn,sykkeltype,brand,model,year,framesize,wheel_size,groupset,carbon_frame,carbon_wheels,electronic_shifting,description,location,condition_score,groupset_tier,brand_tier,year_num,bike_age,framesize_cm,price_predicted,price_residual_pct,model_label,deal_label
449831395,https://www.finn.no/recommerce/forsale/item/449831395,2026-03-02T15:33:36.621Z,Triathlon Tempo sykkel Carbon Medium,10000.0,Godt brukt - Synlig brukt,,Unisex,Landevei,NOR,Triathlon Tempo,,Medium,,Shimano Ultegra,1,0,0,"Selger en helt unik triathlon Tempo sykkel merke NOR. Disse syklene blir ikke produser lengre. One of a kind!! Meget bra og stiv ramme, ultegra gruppesett. Denne doningen har båret meg gjennom en rekke Ironman 70.3, Ironman og 4 Xtrem triatlon. Sykkel er godt brukt, men velfungerende og har blitt jevnlig vedlikeholdt. Kan selges med høyprofilerte hjul, mot lite tillegg i pris.",4054 Tjelta,2.0,4,2,,5.0,54.0,9843.74,1.5874023684547305,ok_deal,Good deal
401538596,https://www.finn.no/recommerce/forsale/item/401538596,2026-03-02T15:35:02.728Z,"Bianchi XL EV2 landevei, str 49 cm senter topp,Ultegra/105",19000.0,Pent brukt - I god stand,Bianchi,,Landevei,Bianchi,XL EV2,,49cm,700c,Shimano Ultegra/105,0,0,0,"Bianchi XL EV2, 49 cm senter topp. Vekt 7,9 kg komplett. Med Ultegra/105 utstyr. Styrebredde 38 cm c/c. Styrestem 8 cm. Carbon setepinne og forgaffel. Leveres med Look Keo pedaler. Kompaktkrank 34-50. Mavic helium hjul. Nye dekk Michelin Pro 2 Race. Aluminiumsramme. Bontrager Ajna damesete. Alt utstyr er nytt bortsett fra bremseklo og setepinne. Vintage sykkel. Passer best til dame/junior jente. Svært pen sykkel bygget opp av erfaren sykkelforhandler.",4815 Saltrød,3.0,4,3,,5.0,49.0,13176.136,44.20009304522862,bad_deal,Bad deal
316660524,https://www.finn.no/recommerce/forsale/item/316660524,2026-03-02T15:36:09.228Z,Mercier Vintage landeveissykkel,6000.0,Pent brukt - I god stand,,Unisex,Landevei,Mercier,,1983,58,,,0,0,0,"Meget pen Mercier vintage racer 1983 modell til salgs. Jeg nedskalere antall vintage sykler i samlingen min og selger dette Mercier smykket av en racer. Den har kun hengt på vegg i mitt sykkelrom og har fått seg en liten tur på fine sommerdager. Jeg er tredje eier av sykkelen. Litt spesifikasjoner: Ramme er Columbus rør 58 ramme, passer fint for høyde rundt 180+/- Hjul - Nav: Gipiemme (italiensk leverandør som var konkurrent til Campagnolo) Hjul - Felger: Mavic Gir: Simplex Krank: Gipiemme Bremser: Gipiemme Det er en fantastisk sykkel som er oppsiktsvekkende godt bevart etter 40+ år. Sykkelen er fransk og utstyrt med franske og italienske komponenter. Dette var vel franskmenns svar på italienske Bianchi, Pinarello eller Colnago. Bra lakk, tatt i betrakting at sykkelens alder. Jeg har i senere år oppgradert til hvitt Rolls SanMarco sete, en fin messingklokke, hvit styretape og flaskeholder som står i stil med sykkelen - har også oppgradert noe av girsystem med nye komponenter (NOS - new old stock) Har også en fin vintage Mericer sykkeltrøye i ull, størrelse XL (men ikke spesielt stor XL størrelse) Mercier cap og ny skinnhjelm (hjelm er liten i størrelse og har aldri vært brukt) Dette er inkludert. Kan leveres strekningen Fredrikstad - Oslo Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",1608 Fredrikstad,3.0,0,1,1983.0,43.0,58.0,8709.859,-31.11255025285641,good_deal,OK deal
439379332,https://www.finn.no/recommerce/forsale/item/439379332,2026-03-02T15:36:47.014Z,Giant Advanced Pro 0 Di2,50000.0,Pent brukt - I god stand,Giant,Unisex,Landevei,Giant,Propel Advanced Pro 0,2025,M/L,700c,Shimano Ultegra Di2,1,1,1,"Giant Propel Advanced Pro 0 landevei sykkel i størrelse M/L Utrolig rask og god sykkel perfekt til både ritt og trening. Godt utstyrt aero landeveissykkel. Utstyrt med Giant SLR1 50mm karbonhjul, oppgradert karbon styre (380mm) og stem (130mm) og Shimano Ultergra Di2 girsystem med hydrauliske skivebremser. . Den er òg utstyrt med Giant Power Pro wattkrank (172,5mm). Sykkelen er kjøpt ny i April 2025. Noen lakkskader, knyttet til steinsprut. Ellers i veldig god stand og aldri veltet med. Drivverk og i god stand da det nettopp er byttet kjede. Passer for folk mellom 177-187cm.",2618 Lillehammer,3.0,4,3,2025.0,1.0,54.0,45535.902,9.80346809106928,ok_deal,Good deal
447590922,https://www.finn.no/recommerce/forsale/item/447590922,2026-03-02T15:37:43.016Z,Orbea Orca Aero Str: 57 | Ultegra Di2,33000.0,Pent brukt - I god stand,Orbea,Herre,Landevei,Orbea,Orca Aero,,57,700c,Shimano Ultegra Di2,1,0,1,"Orbea Orca Aero - Landeveisykkel Str 57: 185-195cm ca. Jeg på 192cm sitter ypperlig, justeringsmuligheter både opp og ned Ting og ta med seg: - Ultegra 11 delt di2 - Ultegra skivebremser - To hjulsett. Både Unaas 55 LTD (clincher), men også DT Swiss E1800 Spline (clincher) - Sitter nå på et Specialized Power Expert 143 saddle, kan bytte til Prologo Dimension 143 saddle om ønskelig - Wahoo computerfeste medfølger - Flaskeholdere medfølger - Pedaler medfølger ikke Jevnlig vedlikeholdt. Normale bruksmerker, ikke vært i velt. Ønsker i utgangspunktet ikke å sende sykkelen. Den kan sees i Oslo, kan være behjelpelig til å frakte den i ""nærområdet"" ved seriøse henvendelser. Bare ta kontakt for en hyggelig prat eller spørsmål. Landevei Sykkel Landeveisykkel Landeveissykkel Orbea Orca Aero Skivebrems Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",0558 Oslo,3.0,4,3,,5.0,57.0,31166.398,5.883264202557894,ok_deal,OK deal
436153965,https://www.finn.no/recommerce/forsale/item/436153965,2026-03-02T15:37:49.562Z,Orbea Orca M30 str 57 m/Sram AXS,50000.0,Som ny - Ikke synlig brukt,Orbea,Herre,Landevei,Orbea,Orca M30,2024,57,,SRAM Force AXS,1,1,1,"Orbea Orca M30 i str 57 som er betydelig oppgradert. SRAM Force AXS frem-og bakgir, bremser og girhendler. SRAM Red AXS wattkrank og krankarmer med Shimano Dura-Ace pedaler. Selle Italia sete Specialized S-Works Aerofly II Carbon styre Mavic karbonhjul Goodyear Eagle F1 32mm dekk, slangeløst. Fantastisk behagelig og ikke minst rask sykkel med krem-komponenter. Bare hjulsett og wattkrank kostet mer en sykkelen originalt. Kjedet vokset mellom hver tur. Sykkel var kjøpt ny av meg sommer 2024 og ble umiddelbart oppgradert. Ikke syklet mange turene grunnet long covid. Perfekt for meg som er 189 cm høy, Orbea sitt size chart sier 186-191 cm. Styrerøret er kappet 1 cm, så det er fortsatt langt. Sykkelen er registrert på Orbea.com med livstidsgaranti. Kjøpt hos norsk forhandler, kvittering foreligger på sykkel. Selges i utgangspunkt uten pedaler, Garmin-mounts (radar og computer) og flaskeholdere. Be om pris på dette. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",5164 Laksevåg,4.0,4,3,2024.0,2.0,57.0,45371.176,10.202125334082478,ok_deal,OK deal
369078388,https://www.finn.no/recommerce/forsale/item/369078388,2026-03-02T15:38:05.753Z,Boardman Elite Air 9.8 tempo-/triatlonsykkel. (STR M),26500.0,Pent brukt - I god stand,,,Landevei,Boardman,Elite Air 9.8,,M,,Shimano Ultegra Di2,0,0,1,"Rask, aerodynamisk temposykkel som er godt vedlikeholdt. Normale bruksmerker som er å forvente. 11-delt Ultegra di2 Dura-ace P9100 wattkrank, 53-39 80/60mm orginalhjul clincher med Schwalbe pro one 26mm dekk, brune sidevegger. TRP bremser Nytt kjede, kopper og kranklager, navservice bakhjul i 2024, sykkelen er ikke brukt i 2025. Selges med originale s-bend extensions i carbon, samt ski-bend 30 grader i aluminium. Selges uten flaskeholdere og pedaler. Kan ses og hentes i Andebu, Vestfold Søkeord: tempo, temposykkel, triatlon, triathlon",3158 Andebu,3.0,4,1,,5.0,54.0,24479.258,8.254916072121008,ok_deal,Good deal
356134362,https://www.finn.no/recommerce/forsale/item/356134362,2026-03-02T15:38:29.755Z,Scott Addict Rc15 22/23 L,40000.0,Pent brukt - I god stand,,,Landevei,Scott,Addict RC 15,2022,L,,,0,0,0,"Vinterkupp! Lite og pent brukt Scott Addict R15 i størrelse L. Den perfekte allround sykkel!! Flaskeholdere, Garmin feste og pedaler følger med",2319 Hamar,3.0,0,3,2022.0,4.0,56.0,13740.612,191.10784230739353,bad_deal,Good deal
432995374,https://www.finn.no/recommerce/forsale/item/432995374,2026-03-02T15:38:54.894Z,Specialized Tarmac Comp Sagan Edition str. 56 med Ultegra Di2,25000.0,Pent brukt - I god stand,Specialized,,Landevei,Specialized,Tarmac Comp Sagan Edition,,56,700c,Shimano Ultegra Di2,1,0,1,"Selger en Specialized Tarmac Comp Sagan Edition i størrelse 56. Sykkelen er oppgradert med elektronisk Ultegra Di2-gruppe, Deda Elementi Superzero aero styre og stem, samt Unaas AS-30 lette aluminiumshjul. Store drev, kjede og bakdekk ble byttet i sommer, og bakhjulet fikk service med nye lagre samtidig. Sykkelen er godt vedlikeholdt og fungerer som den skal. Noen kosmetiske merker som vist på bildene. En solid og rask landeveissykkel med karakteristisk Peter Sagan Edition - lakk som glitrer i solen. Original spesifikasjon og detaljer finnes her: https://www.specialized.com/us/en/tarmac-comp/p/118206?color=208629-118206 Kan sees og prøves på Lierskogen.",3420 Lierskogen,3.0,4,4,,5.0,56.0,34731.13,-28.018464163711204,good_deal,OK deal
446863424,https://www.finn.no/recommerce/forsale/item/446863424,2026-03-02T15:39:03.583Z,Canyon ultimate CF 7 2026 - OPPGRADERT,47500.0,Pent brukt - I god stand,Canyon,Unisex,Landevei,Canyon,Ultimate CF 7,2026,M,,Shimano Ultegra,1,0,0,"Tilsvarende sykkel ny i dag med komponentene som er skrevet nedenfor er på rundt 60 000,- så her får du mye for pengene. Kjøpt sent 2025. Treningssykkel, mest brukt på rullen med waxet kjede. Ultimate har en maks dekk bredde på 33mm så du kan fint bruke cx dekk om du ønsker å kjøre på grusen. (Som vist på bilde) 105 hendler Ultegra frem og bakgir Aero drops 110 stem 165 krank armer med ensidig Wattmåler fra 4iiii (innebygd sporing, for Apple brukere) Computerfeste for Garmin / wahoo Ultegra pedaler Kan selges med 165 kranksett armer uten Wattmåler. Pris: 42 000,- Størrelse M, passer for 178-188 Styret kan justeres opp og ned uten å måtte kappe gaffelen. Hendlene kan justeres smalere og bredere også. ——— Ceramicspeed klistremerket er kun festet på sykkelen da den kommer fra hovedsykkelen. Garmin feste bak, og flaske holdere følger ikke med. Sete blir byttet ut når sykkelen selges. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.",5238 Rådal,3.0,4,3,2026.0,0.0,54.0,32824.285,44.70992977879254,bad_deal,Bad deal
